,0
0,2020
1,5PG
2,ABG
9,ACC
10,ACH
3,AFG
21,AFK
29,AGAS
4,AGLX
5,AKAST
7,AKBM
6,AKER
13,AKSO
14,AKVA
31,ALNG
15,ALT
16,AMSC
18,AQUA
26,ASA
23,ASTK
25,ATEA
27,AUSS
20,AZT
33,B2H
34,BAKKA
35,BELCO
45,BMA
38,BONHR
40,BRG
42,BWIDL
43,BWLPG
48,CARA
49,CARBN
51,CONTX
52,CRAYN
55,DLTX
56,DNB
58,DOF
59,EAM
70,EFUEL
63,ELK
62,EMGS
65,ENDUR
68,EQNR
72,FLNG
74,FRO
78,GOGL
80,GSF
81,HAFNI
84,HAVI
88,HBC
86,HEX
90,HOC
91,HUDL
92,HUNT
85,HYARD
95,IDEX
96,INSR
97,IOX
99,JIN
100,KAL
103,KCC
101,KID
104,KMCP
106,KOA
107,KOG
108,LSG
112,MEDI
113,MELG
110,MGN
116,MNTR
118,MPCC
119,MPCES
111,MSEIS
120,MULTI
114,MWTR
128,NANOV
136,NAS
123,NEL
132,NHY
122,NKR
129,NOD
134,NODL
127,NOM
193,NONG
137,NOR
126,NORBT
133,NORTH
138,NRC
135,NRS
140,ODF
141,ODFB
144,OLT
145,ORK
146,OTEC
148,PARB
150,PCIB
147,PEN
153,PEXIP
154,PGS
155,PHLY
156,PHO
158,PMG
152,PNOR
159,POL
160,PRS
151,PSE
149,PSKY
166,QEC
163,QFR
167,RAKP
168,RANA
170,RECSI
176,SACAM
174,SALM
175,SALME
179,SBANK
185,SBO
180,SCANA
181,SCATC
172,SDSD
186,SHLF
187,SIOFF
194,SNI
191,SNOR
188,SOFF
192,SPOL
190,SRBNK
184,SSG
195,STB
196,STRO
197,SUBC
201,TEL
203,TIETO
204,TOM
205,ULTI
206,VEI
207,VISTN
208,VOLUE
210,VOW
215,WILS
213,WWI
214,WWIB
217,XXL
218,YAR
219,ZAL
220,ZAP
