ISIN,RIC,LOCAL,
BMG9156K1018,20202.OL,2020,
DK0060945467,5PG.OL,5PG,
NO0010672181,AASB.OL,AASB,
NO0003021909,ABGA.OL,ABG,
NO0010844038,ADEA.OL,ADE,
CY0108052115,ADSA.OL,ADS,
NO0010626559,AEGA.OL,AEGA,
NO0003078107,AFGA.OL,AFG,
NO0010872468,AGLX.OL,AGLX,
NO0010895568,AIRX.OL,AIRX,
NO0010215684,AKAST.OL,AKAST,
NO0010234552,AKER.OL,AKER,
NO0010886625,AKBM.OL,AKBM,
NO0010345853,AKRBP.OL,AKRBP,
NO0010890304,ACCA.OL,ACC,
NO0010936081,ACHA.OL,ACH,
NO0010921232,AKH.OL,AKH,
NO0010890312,AOW.OL,AOW,
NO0010716582,AKSOA.OL,AKSO,
SE0015193412,AKOBO.OL,AKOBO,
NO0003097503,AKVA.OL,AKVA,
IE00BLRPRP89,ALTA.OL,ALT,
NO0010272065,AMSCM.OL,AMSC,
NO0010829765,ANDF.OL,ANDF,
NO0010307135,ABTA.OL,ABT,
NO0010715394,AQUA.OL,AQUA,
BMG0451H1170,ARCHA.OL,ARCH,
NO0010859580,ABSA.OL,ABS,
NO0010917719,AFISH.OL,AFISH,
NO0010014632,AZT.OL,AZT,
NO0003572802,AFK.OL,AFK,
NO0010946593,ARGEO.OL,ARGEO,
NO0003108102,ARRA.OL,ARR,
DK0060477263,ASTK.OL,ASTK,
CH1122548808,ASTRO.OL,ASTRO,
NO0004822503,ATEA.OL,ATEA,
NO0010768500,ASA.OL,ASA,
NO0011032310,AURAA.OL,AURA,
NO0006001601,AURG.OL,AURG,
NO0010073489,AUSS.OL,AUSS,
BMG0670A1099,AUTO.OL,AUTO,
BMG067231032,AGAS.OL,AGAS,
GB00B5LJSC86,AWDR.OL,AWDR,
NO0010607971,ALNG.OL,ALNG,
NO0010840515,ACR.OL,ACR,
NO0010793243,AYFIE.OL,AYFIE,
NO0010633951,B2H.OL,B2H,
FO0000000179,BAKKA.OL,BAKKA,
NO0010810476,BALT.OL,BALT,
SGXZ33675836,BARRA.OL,BARRA,
NO0003094104,BELCO.OL,BELCO,
NO0010950249,BCS.OL,BCS,
NO0010650013,BGBIO.OL,BGBIO,
NO0010890965,BEWI.OL,BEWI,
NO0010955198,BFISH.OL,BFISH,
NO0010755101,BSPC.OL,BSP,
NO0003110603,BONHR.OL,BONHR,
NO0003111700,BOR.OL,BOR,
BMG1466R1732,BORR.OL,BORR,
NO0010657505,BRGB.OL,BRG,
NO0010360266,BOUV.OL,BOUV,
NO0010167331,BRAB.OL,BRA,
BMG0702P1086,BWE.OL,BWE,
SGXZ80461361,BWEK.OL,BWEK,
NO0010947385,BWIDL.OL,BWIDL,
BMG173841013,BWLPG.OL,BWLPG,
BMG1738J1247,BWO.OL,BWO,
NO0003087603,BMA.OL,BMA,
DK0061412772,CADLR.OL,CADLR,
NO0010078850,CAMBI.OL,CAMBI,
NO0010781560,CAN.OL,CAN,
NO0010123060,CARAC.OL,CARA,
NO0010778095,CARBN.OL,CARBN,
NO0010917594,CIRCA.OL,CIRCA,
AU000000CSS3,CSS.AX,CSS,
NO0010876642,CLOUD.OL,CLOUD,
NO0010923121,CAPSL.OL,CAPSL,
SE0014731154,CONTX.OL,CONTX,
BMG2415A1137,COOL.OL,COOL,
NO0010808892,CRAYN.OL,CRAYN,
NO0010894512,CSAM.OL,CSAM,
NO0010015175,CYVIZ.OL,CYVIZ,
NO0010955917,DVD.OL,DVD,
NO0010963275,DSRT.OL,DSRT,
NO0003055808,DLTX.OL,DLTX,
NO0010161896,DNB.OL,DNB,
NO0003921009,DNO.OL,DNO,
NO0010070063,DOF.OL,DOF,
NO0010607781,EAM.OL,EAM,
